,ADMIN0,ADMIN1,year,month,Retail
441,Ethiopia,Oromia,2012,10,1.0362755455452335
442,Ethiopia,Oromia,2012,11,0.9317460671363211
443,Ethiopia,Oromia,2012,12,0.8080995024623996
444,Ethiopia,Oromia,2012,2,1.2483373512797542
445,Ethiopia,Oromia,2012,3,1.3405452580576038
446,Ethiopia,Oromia,2012,4,1.411603350879263
447,Ethiopia,Oromia,2012,5,1.51011350624756
448,Ethiopia,Oromia,2012,6,1.4275816474148653
449,Ethiopia,Oromia,2012,7,1.350446632655089
450,Ethiopia,Oromia,2012,8,1.2278502133076863
451,Ethiopia,Oromia,2012,9,1.37036380680833
452,Ethiopia,Oromia,2013,1,0.3167796618529066
453,Ethiopia,Oromia,2013,10,1.0802611348922577
454,Ethiopia,Oromia,2013,11,0.9617230883023186
455,Ethiopia,Oromia,2013,12,0.6948241312400918
456,Ethiopia,Oromia,2013,2,0.47875132672815146
457,Ethiopia,Oromia,2013,3,0.538492142027069
458,Ethiopia,Oromia,2013,4,0.36813463011965336
459,Ethiopia,Oromia,2013,5,0.6090295981198596
460,Ethiopia,Oromia,2013,6,0.6587526435220201
461,Ethiopia,Oromia,2013,7,0.6404516173291874
462,Ethiopia,Oromia,2013,8,0.9243174840025489
463,Ethiopia,Oromia,2013,9,0.8915052281295651
464,Ethiopia,Oromia,2014,1,0.6150905498285677
465,Ethiopia,Oromia,2014,10,0.874018732042511
466,Ethiopia,Oromia,2014,11,1.3915371044754674
467,Ethiopia,Oromia,2014,12,0.2998973750431969
468,Ethiopia,Oromia,2014,2,0.6507196594218443
469,Ethiopia,Oromia,2014,3,0.5631658598726967
470,Ethiopia,Oromia,2014,4,0.5975439959946689
471,Ethiopia,Oromia,2014,5,0.66800259111961
472,Ethiopia,Oromia,2014,6,0.758670044974513
473,Ethiopia,Oromia,2014,7,0.8128344055725709
474,Ethiopia,Oromia,2014,8,0.9547031329884912
475,Ethiopia,Oromia,2014,9,0.9137174308394063
476,Ethiopia,Oromia,2015,1,0.31917822177853794
477,Ethiopia,Oromia,2015,10,0.04345414002521231
478,Ethiopia,Oromia,2015,11,0.1119227169874516
479,Ethiopia,Oromia,2015,12,0.18087177111798433
480,Ethiopia,Oromia,2015,2,0.30730066155834335
481,Ethiopia,Oromia,2015,3,0.7452748039393396
482,Ethiopia,Oromia,2015,4,0.866979929638787
483,Ethiopia,Oromia,2015,5,0.42676304515153474
484,Ethiopia,Oromia,2015,6,0.12369858294106337
485,Ethiopia,Oromia,2015,7,0.029695136300230893
486,Ethiopia,Oromia,2015,8,0.021466522357740492
487,Ethiopia,Oromia,2015,9,0.19080113519103725
488,Ethiopia,Oromia,2016,1,0.3665451691719752
489,Ethiopia,Oromia,2016,10,0.2496486020431711
490,Ethiopia,Oromia,2016,11,0.4375741417415404
491,Ethiopia,Oromia,2016,12,0.39582695256662215
492,Ethiopia,Oromia,2016,2,0.23393470392523827
493,Ethiopia,Oromia,2016,3,0.18344633490046097
494,Ethiopia,Oromia,2016,4,0.37050223104685265
495,Ethiopia,Oromia,2016,5,0.5566096906658327
496,Ethiopia,Oromia,2016,6,0.5016675352969578
497,Ethiopia,Oromia,2016,7,0.2960890327073203
498,Ethiopia,Oromia,2016,8,0.2912897229657669
499,Ethiopia,Oromia,2016,9,0.3304987658504287
500,Ethiopia,Oromia,2017,1,0.3939489950222619
501,Ethiopia,Oromia,2017,10,1.1417173347059413
502,Ethiopia,Oromia,2017,11,0.975197505411673
503,Ethiopia,Oromia,2017,12,0.9572352538106335
504,Ethiopia,Oromia,2017,2,0.49558222452450573
505,Ethiopia,Oromia,2017,3,0.6781900782057881
506,Ethiopia,Oromia,2017,4,0.7467746134353808
507,Ethiopia,Oromia,2017,5,0.7367601173492988
508,Ethiopia,Oromia,2017,6,0.5787298617780259
509,Ethiopia,Oromia,2017,7,0.7967764491107069
510,Ethiopia,Oromia,2017,8,1.014822264312312
511,Ethiopia,Oromia,2017,9,1.1555406322818982
512,Ethiopia,Oromia,2018,1,0.9404508270934546
516,Ethiopia,Oromia,2018,2,0.9182828437048565
517,Ethiopia,Oromia,2018,3,0.8962620926691325
