,ADMIN0,ADMIN1,year,month,Retail,Wholesale
211,Ethiopia,Amhara,2015,11,,0.20092295413898142
212,Ethiopia,Amhara,2015,12,0.1502781993187751,0.1584351792410409
213,Ethiopia,Amhara,2015,2,0.08200661186227162,0.11053429436523288
214,Ethiopia,Amhara,2015,3,0.059395640208626914,0.13394808591100502
215,Ethiopia,Amhara,2015,4,0.0380583494671452,0.11724180389300896
216,Ethiopia,Amhara,2015,5,0.09362033355989696,0.08274706396647707
217,Ethiopia,Amhara,2015,6,,0.09901552379042594
218,Ethiopia,Amhara,2015,7,,0.15242305320685673
219,Ethiopia,Amhara,2015,8,,0.17758932928107302
220,Ethiopia,Amhara,2015,9,0.08969041521244037,0.1735590082020577
221,Ethiopia,Amhara,2016,1,0.17033179747874713,0.18274855154527117
222,Ethiopia,Amhara,2016,10,,0.14224868184874095
223,Ethiopia,Amhara,2016,11,,0.07919832240676589
224,Ethiopia,Amhara,2016,12,,0.028582536518094753
225,Ethiopia,Amhara,2016,2,0.11910876281038539,0.1543677419862433
226,Ethiopia,Amhara,2016,3,0.11229883089608171,0.08226149436831516
227,Ethiopia,Amhara,2016,4,0.18959401298943532,0.11594469899252775
228,Ethiopia,Amhara,2016,5,,0.11227565402167433
229,Ethiopia,Amhara,2016,6,,0.11522188783727286
230,Ethiopia,Amhara,2016,7,,0.13756230302143085
231,Ethiopia,Amhara,2016,8,,0.13601785554389972
232,Ethiopia,Amhara,2016,9,,0.20261180197070905
233,Ethiopia,Amhara,2017,1,,0.007264524436311058
234,Ethiopia,Amhara,2017,10,,0.3561695766376555
235,Ethiopia,Amhara,2017,11,,0.3207344368368057
236,Ethiopia,Amhara,2017,12,,0.11663364675799778
237,Ethiopia,Amhara,2017,2,,0.005642812067238823
238,Ethiopia,Amhara,2017,3,,0.0028754678963052865
239,Ethiopia,Amhara,2017,4,,0.06666102985337657
240,Ethiopia,Amhara,2017,5,,0.08558547087040075
241,Ethiopia,Amhara,2017,6,,0.09964267265713404
242,Ethiopia,Amhara,2017,7,,0.22649248625199234
243,Ethiopia,Amhara,2017,8,,0.3160768706221208
244,Ethiopia,Amhara,2017,9,,0.35253312788463864
245,Ethiopia,Amhara,2018,1,,0.11053678145236817
246,Ethiopia,Amhara,2018,10,,0.44466691908344547
247,Ethiopia,Amhara,2018,11,,0.4115383899987256
248,Ethiopia,Amhara,2018,12,,0.34954339780164095
249,Ethiopia,Amhara,2018,2,,0.1872302757088794
250,Ethiopia,Amhara,2018,3,,0.21849277070086534
251,Ethiopia,Amhara,2018,4,,0.3513099397215475
252,Ethiopia,Amhara,2018,5,,0.3447626142134617
253,Ethiopia,Amhara,2018,6,,0.314694570449801
254,Ethiopia,Amhara,2018,7,,0.33079784087182257
255,Ethiopia,Amhara,2018,8,,0.23588661558555682
256,Ethiopia,Amhara,2018,9,,0.47295869260204004
257,Ethiopia,Amhara,2019,1,,0.30796060915878076
258,Ethiopia,Amhara,2019,10,,0.6463994764930971
259,Ethiopia,Amhara,2019,11,,0.6836650938648311
260,Ethiopia,Amhara,2019,12,,0.3301116097291632
261,Ethiopia,Amhara,2019,2,,0.38399086803532845
262,Ethiopia,Amhara,2019,3,,0.37327911759691124
263,Ethiopia,Amhara,2019,4,,0.4566614096459858
264,Ethiopia,Amhara,2019,5,,0.33436560733885795
265,Ethiopia,Amhara,2019,7,,0.48207340184704606
266,Ethiopia,Amhara,2019,8,,0.5972911697298713
267,Ethiopia,Amhara,2019,9,,0.7266353724093728
268,Ethiopia,Amhara,2020,1,,0.3644441461298313
269,Ethiopia,Amhara,2020,2,,0.5712879737621626
270,Ethiopia,Amhara,2020,3,,0.40728885183779034
271,Ethiopia,Beneshangul Gumu,2015,6,-0.1356164746607205,
272,Ethiopia,Beneshangul Gumu,2015,7,-0.14192071974980758,
273,Ethiopia,Beneshangul Gumu,2015,8,-0.23390010823169463,
274,Ethiopia,Dire Dawa,2010,1,0.40932300736465965,0.5227393785471625
275,Ethiopia,Dire Dawa,2010,10,0.33173422129339064,0.19172800867851625
276,Ethiopia,Dire Dawa,2010,11,0.3134738102872298,0.20218429946515384
277,Ethiopia,Dire Dawa,2010,12,0.20052324007728348,0.1932836391595012
278,Ethiopia,Dire Dawa,2010,2,0.39112085402673724,0.4224076819837353
279,Ethiopia,Dire Dawa,2010,3,0.3879668250867942,0.30976350541833414
280,Ethiopia,Dire Dawa,2010,4,0.3262312004175058,0.2574366252787785
281,Ethiopia,Dire Dawa,2010,5,0.32420340312066553,0.26162536302052203
