,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
95,Sudan,Sinnar,2014,6,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
96,Sudan,Sinnar,2013,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
97,Sudan,Sinnar,2013,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
98,Sudan,Sinnar,2012,11,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
99,Sudan,Sinnar,2012,6,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
100,Sudan,Sinnar,2012,1,0,0,0,0,1,0.0,0.0,0.0,0.0,3.0
101,Sudan,Sinnar,2011,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
102,Sudan,Sinnar,2008,6,1,0,0,0,0,10.0,0.0,0.0,0.0,0.0
103,Sudan,Sinnar,2005,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
104,Sudan,Sinnar,2005,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
105,Sudan,Sinnar,2004,9,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
106,Sudan,Sinnar,2002,1,2,0,0,0,0,41.0,0.0,0.0,0.0,0.0
107,Sudan,Sinnar,2000,6,0,2,1,0,0,0.0,1.0,1.0,0.0,0.0
108,Sudan,Sinnar,1999,7,1,0,0,0,0,30.0,0.0,0.0,0.0,0.0
109,Sudan,Sinnar,1999,1,1,0,0,0,0,48.0,0.0,0.0,0.0,0.0
110,Sudan,Sinnar,1997,1,2,0,0,0,0,316.0,0.0,0.0,0.0,0.0
111,Somalia,Galgaduud,2020,5,3,1,0,0,4,0.0,0.0,0.0,0.0,2.0
112,Somalia,Galgaduud,2020,4,3,0,1,0,1,7.0,0.0,0.0,0.0,3.0
113,Somalia,Galgaduud,2020,3,1,0,0,0,1,2.0,0.0,0.0,0.0,1.0
114,Somalia,Galgaduud,2020,2,3,0,0,1,0,14.0,0.0,0.0,0.0,0.0
115,Somalia,Galgaduud,2020,1,4,0,0,2,2,3.0,0.0,0.0,0.0,4.0
116,Somalia,Galgaduud,2019,12,4,0,0,1,0,2.0,0.0,0.0,0.0,0.0
117,Somalia,Galgaduud,2019,11,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0
118,Somalia,Galgaduud,2019,10,1,0,0,0,3,2.0,0.0,0.0,0.0,3.0
119,Somalia,Galgaduud,2019,9,0,2,0,0,6,0.0,0.0,0.0,0.0,8.0
120,Somalia,Galgaduud,2019,8,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
121,Somalia,Galgaduud,2019,7,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
122,Somalia,Galgaduud,2019,6,2,0,0,0,3,10.0,0.0,0.0,0.0,6.0
123,Somalia,Galgaduud,2019,5,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0
124,Somalia,Galgaduud,2019,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
125,Somalia,Galgaduud,2019,3,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0
126,Somalia,Galgaduud,2019,2,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0
127,Somalia,Galgaduud,2019,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
128,Somalia,Galgaduud,2018,12,3,0,1,0,2,20.0,0.0,0.0,0.0,1.0
129,Somalia,Galgaduud,2018,11,4,0,0,0,2,6.0,0.0,0.0,0.0,2.0
130,Somalia,Galgaduud,2018,10,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
131,Somalia,Galgaduud,2018,9,2,0,0,0,1,1.0,0.0,0.0,0.0,0.0
132,Somalia,Galgaduud,2018,8,2,0,0,0,1,5.0,0.0,0.0,0.0,1.0
133,Somalia,Galgaduud,2018,6,1,0,0,0,1,10.0,0.0,0.0,0.0,1.0
134,Somalia,Galgaduud,2018,5,3,0,0,0,0,13.0,0.0,0.0,0.0,0.0
135,Somalia,Galgaduud,2018,4,2,0,0,1,0,4.0,0.0,0.0,20.0,0.0
136,Somalia,Galgaduud,2018,3,4,1,0,0,0,6.0,0.0,0.0,0.0,0.0
137,Somalia,Galgaduud,2018,2,1,0,0,1,1,10.0,0.0,0.0,2.0,2.0
138,Somalia,Galgaduud,2018,1,1,1,0,0,2,2.0,0.0,0.0,0.0,3.0
139,Somalia,Galgaduud,2017,12,2,0,0,0,2,12.0,0.0,0.0,0.0,3.0
140,Somalia,Galgaduud,2017,11,2,0,0,0,2,2.0,0.0,0.0,0.0,1.0
141,Somalia,Galgaduud,2017,10,1,4,0,0,2,1.0,0.0,0.0,0.0,2.0
142,Somalia,Galgaduud,2017,9,1,1,1,0,1,2.0,0.0,0.0,0.0,2.0
143,Somalia,Galgaduud,2017,8,12,0,0,1,4,42.0,0.0,0.0,2.0,1.0
144,Somalia,Galgaduud,2017,7,4,1,1,0,2,23.0,0.0,0.0,0.0,2.0
145,Somalia,Galgaduud,2017,6,3,0,0,0,3,8.0,0.0,0.0,0.0,5.0
146,Somalia,Galgaduud,2017,5,3,1,0,1,3,13.0,0.0,0.0,0.0,5.0
147,Somalia,Galgaduud,2017,4,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
148,Somalia,Galgaduud,2017,3,4,3,0,1,3,4.0,1.0,0.0,0.0,3.0
149,Somalia,Galgaduud,2017,2,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0
150,Somalia,Galgaduud,2017,1,3,0,0,0,5,12.0,0.0,0.0,0.0,6.0
151,Somalia,Galgaduud,2016,12,0,0,0,0,2,0.0,0.0,0.0,0.0,2.0
152,Somalia,Galgaduud,2016,11,6,1,0,0,5,27.0,1.0,0.0,0.0,9.0
153,Somalia,Galgaduud,2016,10,6,1,0,0,3,7.0,0.0,0.0,0.0,3.0
154,Somalia,Galgaduud,2016,9,6,0,0,0,3,10.0,0.0,0.0,0.0,6.0
155,Somalia,Galgaduud,2016,8,5,0,0,0,2,17.0,0.0,0.0,0.0,4.0
156,Somalia,Galgaduud,2016,7,2,0,0,0,5,3.0,0.0,0.0,0.0,10.0
157,Somalia,Galgaduud,2016,6,7,2,0,0,3,33.0,0.0,0.0,0.0,4.0
158,Somalia,Galgaduud,2016,5,2,0,1,0,5,25.0,0.0,0.0,0.0,7.0
159,Somalia,Galgaduud,2016,4,10,1,0,0,0,98.0,0.0,0.0,0.0,0.0
160,Somalia,Galgaduud,2016,3,5,0,0,1,0,17.0,0.0,0.0,10.0,0.0
161,Somalia,Galgaduud,2016,2,2,0,0,0,0,4.0,0.0,0.0,0.0,0.0
162,Somalia,Galgaduud,2016,1,3,0,0,0,2,10.0,0.0,0.0,0.0,3.0
163,Somalia,Galgaduud,2015,12,3,0,0,0,1,2.0,0.0,0.0,0.0,0.0
164,Somalia,Galgaduud,2015,11,2,0,0,2,2,2.0,0.0,0.0,20.0,3.0
165,Somalia,Galgaduud,2015,10,6,0,0,0,2,18.0,0.0,0.0,0.0,1.0
166,Somalia,Galgaduud,2015,9,3,0,0,0,0,21.0,0.0,0.0,0.0,0.0
167,Somalia,Galgaduud,2015,8,3,0,0,2,0,1.0,0.0,0.0,20.0,0.0
168,Somalia,Galgaduud,2015,7,6,0,0,1,0,20.0,0.0,0.0,0.0,0.0
169,Somalia,Galgaduud,2015,6,3,1,0,0,0,7.0,0.0,0.0,0.0,0.0
170,Somalia,Galgaduud,2015,5,5,0,0,0,1,52.0,0.0,0.0,0.0,0.0
